,hashtags,id,name,screen_name,hashtags_count
0,2016RFF,140003488,IFC Africa,IFCAfrica,1
1,2018MiningIndaba,140003488,IFC Africa,IFCAfrica,1
2,6DecadesOfExperience,140003488,IFC Africa,IFCAfrica,3
3,6DecadesofExperience,140003488,IFC Africa,IFCAfrica,30
4,6decadesofExperience,140003488,IFC Africa,IFCAfrica,2
5,ACF2017,140003488,IFC Africa,IFCAfrica,3
6,ACF2018,140003488,IFC Africa,IFCAfrica,25
7,ACF2019,140003488,IFC Africa,IFCAfrica,18
8,ACF2020,140003488,IFC Africa,IFCAfrica,5
9,AEF18,140003488,IFC Africa,IFCAfrica,6
10,AEF19,140003488,IFC Africa,IFCAfrica,1
11,AFC2018,140003488,IFC Africa,IFCAfrica,1
12,AFIF2017,140003488,IFC Africa,IFCAfrica,17
13,AFRICA,140003488,IFC Africa,IFCAfrica,1
14,AI,140003488,IFC Africa,IFCAfrica,1
15,ATSLDN,140003488,IFC Africa,IFCAfrica,2
16,Abidjan,140003488,IFC Africa,IFCAfrica,13
17,Access,140003488,IFC Africa,IFCAfrica,1
18,AccesstoFinance,140003488,IFC Africa,IFCAfrica,5
19,Accesstofinance,140003488,IFC Africa,IFCAfrica,2
20,Accra,140003488,IFC Africa,IFCAfrica,3
21,Addisababa,140003488,IFC Africa,IFCAfrica,1
22,AfDB,140003488,IFC Africa,IFCAfrica,1
23,AffordableHousing,140003488,IFC Africa,IFCAfrica,3
24,AfrBiz,140003488,IFC Africa,IFCAfrica,1
25,Africa,140003488,IFC Africa,IFCAfrica,308
26,Africa2018,140003488,IFC Africa,IFCAfrica,8
27,AfricaCan,140003488,IFC Africa,IFCAfrica,1
28,AfricaDay,140003488,IFC Africa,IFCAfrica,2
29,Africacan,140003488,IFC Africa,IFCAfrica,1
30,African,140003488,IFC Africa,IFCAfrica,26
31,AfricanCities,140003488,IFC Africa,IFCAfrica,2
32,Africas,140003488,IFC Africa,IFCAfrica,2
33,Afriflora,140003488,IFC Africa,IFCAfrica,1
34,Afrique,140003488,IFC Africa,IFCAfrica,17
35,Agri,140003488,IFC Africa,IFCAfrica,1
36,AgriDigitalDisruption,140003488,IFC Africa,IFCAfrica,6
37,Agribusiness,140003488,IFC Africa,IFCAfrica,3
38,Agriculture,140003488,IFC Africa,IFCAfrica,1
39,Aid,140003488,IFC Africa,IFCAfrica,1
40,Aid4Trade,140003488,IFC Africa,IFCAfrica,3
41,AirtelMoney,140003488,IFC Africa,IFCAfrica,1
42,Angola,140003488,IFC Africa,IFCAfrica,10
43,Asia,140003488,IFC Africa,IFCAfrica,2
44,Azito,140003488,IFC Africa,IFCAfrica,1
45,AzitoPowerPlant,140003488,IFC Africa,IFCAfrica,1
46,BOVIMA,140003488,IFC Africa,IFCAfrica,1
47,Bangladesh,140003488,IFC Africa,IFCAfrica,2
48,Bangweulu,140003488,IFC Africa,IFCAfrica,2
49,Banking,140003488,IFC Africa,IFCAfrica,1
50,BankingOnWomen,140003488,IFC Africa,IFCAfrica,2
51,BankofGhana,140003488,IFC Africa,IFCAfrica,1
52,Banks,140003488,IFC Africa,IFCAfrica,1
53,Banque,140003488,IFC Africa,IFCAfrica,1
54,BeBoldForChange,140003488,IFC Africa,IFCAfrica,5
55,Benban,140003488,IFC Africa,IFCAfrica,1
56,Benin,140003488,IFC Africa,IFCAfrica,1
57,Berlin,140003488,IFC Africa,IFCAfrica,1
58,BilaMipaka,140003488,IFC Africa,IFCAfrica,9
59,Biodiversity,140003488,IFC Africa,IFCAfrica,1
60,Blockchain,140003488,IFC Africa,IFCAfrica,3
61,Blog4Dev,140003488,IFC Africa,IFCAfrica,1
62,Burkina,140003488,IFC Africa,IFCAfrica,3
63,BurkinaFaso,140003488,IFC Africa,IFCAfrica,6
64,Business,140003488,IFC Africa,IFCAfrica,10
65,BusinessToday,140003488,IFC Africa,IFCAfrica,1
66,Businesswoman,140003488,IFC Africa,IFCAfrica,1
67,CASA10,140003488,IFC Africa,IFCAfrica,8
68,CES2020,140003488,IFC Africa,IFCAfrica,2
69,CGAP,140003488,IFC Africa,IFCAfrica,1
70,CIPREL,140003488,IFC Africa,IFCAfrica,1
71,CIV225,140003488,IFC Africa,IFCAfrica,10
72,CIVCorporateGovernance,140003488,IFC Africa,IFCAfrica,2
73,CIVforPPD,140003488,IFC Africa,IFCAfrica,1
74,CNBCAfrica,140003488,IFC Africa,IFCAfrica,3
75,COP22,140003488,IFC Africa,IFCAfrica,4
76,COP23,140003488,IFC Africa,IFCAfrica,1
77,COVID,140003488,IFC Africa,IFCAfrica,1
78,COVID19,140003488,IFC Africa,IFCAfrica,86
79,COVIDー19,140003488,IFC Africa,IFCAfrica,1
80,CRRH,140003488,IFC Africa,IFCAfrica,2
81,CSquared,140003488,IFC Africa,IFCAfrica,1
82,Cameroon,140003488,IFC Africa,IFCAfrica,2
83,CapitalMarkets,140003488,IFC Africa,IFCAfrica,7
84,CapitalMarketsAfrica,140003488,IFC Africa,IFCAfrica,5
85,CapitalMarketsAfrica2017,140003488,IFC Africa,IFCAfrica,22
86,Caribbean,140003488,IFC Africa,IFCAfrica,5
87,CentralBank,140003488,IFC Africa,IFCAfrica,1
88,CheetahsRoundtable,140003488,IFC Africa,IFCAfrica,1
89,ClassicBusiness,140003488,IFC Africa,IFCAfrica,1
90,ClimateChange,140003488,IFC Africa,IFCAfrica,1
91,Communications,140003488,IFC Africa,IFCAfrica,1
92,Companies,140003488,IFC Africa,IFCAfrica,1
93,Competition,140003488,IFC Africa,IFCAfrica,2
94,Congo,140003488,IFC Africa,IFCAfrica,7
95,CoopAcademy,140003488,IFC Africa,IFCAfrica,1
96,CoronaVirus,140003488,IFC Africa,IFCAfrica,2
97,Coronavirus,140003488,IFC Africa,IFCAfrica,3
98,CoronavirusUSA,140003488,IFC Africa,IFCAfrica,1
99,CorpGov,140003488,IFC Africa,IFCAfrica,2
100,CorporateGovernance,140003488,IFC Africa,IFCAfrica,3
101,CorporateGovernanceKE,140003488,IFC Africa,IFCAfrica,18
102,CorporateGovernanceTrainingForJournalists,140003488,IFC Africa,IFCAfrica,1
103,Cote,140003488,IFC Africa,IFCAfrica,4
104,CotedIvoire,140003488,IFC Africa,IFCAfrica,6
105,Cotedivoire,140003488,IFC Africa,IFCAfrica,4
106,Cotton,140003488,IFC Africa,IFCAfrica,1
107,Credit,140003488,IFC Africa,IFCAfrica,1
108,Côte,140003488,IFC Africa,IFCAfrica,2
109,CôtedIvoire,140003488,IFC Africa,IFCAfrica,3
110,DBinAfrica,140003488,IFC Africa,IFCAfrica,14
111,DFF,140003488,IFC Africa,IFCAfrica,1
112,DFFAfrica,140003488,IFC Africa,IFCAfrica,33
113,DFID,140003488,IFC Africa,IFCAfrica,1
114,DFIForum,140003488,IFC Africa,IFCAfrica,1
115,DFIs,140003488,IFC Africa,IFCAfrica,3
116,DFS,140003488,IFC Africa,IFCAfrica,17
117,DGGF,140003488,IFC Africa,IFCAfrica,1
118,DRC,140003488,IFC Africa,IFCAfrica,6
119,DYK,140003488,IFC Africa,IFCAfrica,32
120,Dakar,140003488,IFC Africa,IFCAfrica,7
121,Data,140003488,IFC Africa,IFCAfrica,9
122,DataAnalytics,140003488,IFC Africa,IFCAfrica,3
123,DataScience,140003488,IFC Africa,IFCAfrica,1
124,Datainsights,140003488,IFC Africa,IFCAfrica,1
125,Davos2019,140003488,IFC Africa,IFCAfrica,1
126,DeepDive,140003488,IFC Africa,IFCAfrica,1
127,DgitalFinance,140003488,IFC Africa,IFCAfrica,1
128,DidYouKnow,140003488,IFC Africa,IFCAfrica,8
129,Digital,140003488,IFC Africa,IFCAfrica,2
130,Digital2Equal,140003488,IFC Africa,IFCAfrica,2
131,DigitalEconomy,140003488,IFC Africa,IFCAfrica,1
132,DigitalFinance,140003488,IFC Africa,IFCAfrica,22
133,DigitalSkills,140003488,IFC Africa,IFCAfrica,1
134,Digitalaccess,140003488,IFC Africa,IFCAfrica,1
135,DisruptiveAgriTech,140003488,IFC Africa,IFCAfrica,1
136,Djibouti,140003488,IFC Africa,IFCAfrica,1
137,DoingBiz,140003488,IFC Africa,IFCAfrica,34
138,DoingBusiness,140003488,IFC Africa,IFCAfrica,9
139,DoingBusiness2020,140003488,IFC Africa,IFCAfrica,2
140,Doingbiz,140003488,IFC Africa,IFCAfrica,2
141,DrivingEquality,140003488,IFC Africa,IFCAfrica,1
142,Drones,140003488,IFC Africa,IFCAfrica,1
143,Dubai,140003488,IFC Africa,IFCAfrica,4
144,Dubaï,140003488,IFC Africa,IFCAfrica,2
145,ECOWAS,140003488,IFC Africa,IFCAfrica,2
146,EDBI2017Zambia,140003488,IFC Africa,IFCAfrica,18
147,EDBI2917Zambia,140003488,IFC Africa,IFCAfrica,1
148,EDD16,140003488,IFC Africa,IFCAfrica,6
149,EMCompass,140003488,IFC Africa,IFCAfrica,3
150,EachforEqual,140003488,IFC Africa,IFCAfrica,1
151,EarthDay2020,140003488,IFC Africa,IFCAfrica,1
152,EaseofBusinessAfrica,140003488,IFC Africa,IFCAfrica,1
153,EaseofDoingBusiness,140003488,IFC Africa,IFCAfrica,5
154,EaseofDoingBusinessAfrica,140003488,IFC Africa,IFCAfrica,2
155,EastAfrica,140003488,IFC Africa,IFCAfrica,5
156,Ebola,140003488,IFC Africa,IFCAfrica,3
157,EducationDay,140003488,IFC Africa,IFCAfrica,1
158,Egypt,140003488,IFC Africa,IFCAfrica,5
159,EmergingMarkets,140003488,IFC Africa,IFCAfrica,1
160,Emirats,140003488,IFC Africa,IFCAfrica,1
161,EmpowerWomen,140003488,IFC Africa,IFCAfrica,1
162,EndingChildMarriage,140003488,IFC Africa,IFCAfrica,1
163,Energy2Equal,140003488,IFC Africa,IFCAfrica,3
164,EnergyAccess,140003488,IFC Africa,IFCAfrica,1
165,Entrepreneurs,140003488,IFC Africa,IFCAfrica,2
166,EthioChicken,140003488,IFC Africa,IFCAfrica,1
167,Ethiopia,140003488,IFC Africa,IFCAfrica,19
168,Ethiopie,140003488,IFC Africa,IFCAfrica,2
169,FCS,140003488,IFC Africa,IFCAfrica,1
170,FIHA,140003488,IFC Africa,IFCAfrica,1
171,FTAfricaPayments,140003488,IFC Africa,IFCAfrica,11
172,FTIFCAwards,140003488,IFC Africa,IFCAfrica,47
173,Farmers,140003488,IFC Africa,IFCAfrica,1
174,Fin4DevMOOC,140003488,IFC Africa,IFCAfrica,1
175,Finance,140003488,IFC Africa,IFCAfrica,3
176,Finance2Equal,140003488,IFC Africa,IFCAfrica,1
